S_DELTA_LOC
0.331803
-0.0393061
-0.203295
0.201089
0.333065
0.302678
0.322252
0.25763
-0.157766
0.0980801
0.448152
-0.207366
0.209083
0.383513
0.114194
-0.0777308
0.305508
0.282547
0.300464
0.230969
0.0480253
0.0719067
0.329085
0.507397
0.107854
0.289729
0.197314
0.243325
-0.0769548
0.450989
0.34862
0.649733
0.0306001
0.163713
0.0882645
0.508829
0.219889
-0.000441435
0.401214
0.277041
0.0113345
0.269812
0.1959
-0.0535406
0.088706
-0.096419
0.100233
-0.114321
0.392742
0.598494
0.171618
0.407451
0.0919528
0.159248
0.205724
0.35348
0.00376194
0.572585
-0.373226
0.211108
0.459468
0.556714
-0.0575453
0.227516
0.086883
0.102133
0.410227
0.498441
-0.0909698
0.219608
0.00482176
0.3611
0.00900617
-0.218389
0.0814114
0.235554
-0.0505226
0.0113642
0.331803
-0.0393061
-0.203295
0.201089
0.333065
0.302678
0.322252
0.25763
-0.157766
0.0980801
0.448152
-0.207366
0.209083
0.383513
0.114194
-0.0777308
0.305508
0.282547
0.300464
0.230969
0.0480253
0.0719067
0.329085
0.507397
0.107854
0.289729
0.197314
0.243325
-0.0769548
0.450989
0.34862
0.649733
0.0306001
0.163713
0.0882645
0.508829
0.219889
-0.000441435
0.401214
0.277041
0.0113345
0.269812
0.1959
-0.0535406
0.088706
-0.096419
0.100233
-0.114321
0.392742
0.598494
0.171618
0.407451
0.0919528
0.159248
0.205724
0.35348
0.00376194
0.572585
-0.373226
0.211108
0.459468
0.556714
-0.0575453
0.227516
0.086883
0.102133
0.410227
0.498441
-0.0909698
0.219608
0.00482176
0.3611
0.00900617
-0.218389
0.0814114
0.235554
-0.0505226
0.0113642
