KAPPA_LOC
1.37227
1.56112
1.42375
1.31503
1.60679
1.44362
1.13746
1.40653
1.33014
1.51986
1.31556
1.44395
1.4225
1.35067
1.55747
1.44441
1.48073
1.42257
1.34425
1.61032
1.43631
1.3225
1.34614
1.47654
1.62146
1.48205
1.491
1.35214
1.38796
1.3114
1.22125
1.38316
1.65364
1.49694
1.34236
1.47003
1.4459
1.3969
1.38474
1.57359
1.35712
1.50764
1.47819
1.32841
1.5377
1.42912
1.40228
1.50394
1.42293
1.52552
1.48947
1.46335
1.59958
1.62497
1.67621
1.39677
1.21212
1.4262
1.37388
1.62829
1.33939
1.49605
1.11813
1.43044
1.45963
1.57095
1.3804
1.27754
1.49596
1.61761
1.36318
1.15623
1.28702
1.22882
1.15069
1.43504
1.50759
1.24002
1.37227
1.56112
1.42375
1.31503
1.60679
1.44362
1.13746
1.40653
1.33014
1.51986
1.31556
1.44395
1.4225
1.35067
1.55747
1.44441
1.48073
1.42257
1.34425
1.61032
1.43631
1.3225
1.34614
1.47654
1.62146
1.48205
1.491
1.35214
1.38796
1.3114
1.22125
1.38316
1.65364
1.49694
1.34236
1.47003
1.4459
1.3969
1.38474
1.57359
1.35712
1.50764
1.47819
1.32841
1.5377
1.42912
1.40228
1.50394
1.42293
1.52552
1.48947
1.46335
1.59958
1.62497
1.67621
1.39677
1.21212
1.4262
1.37388
1.62829
1.33939
1.49605
1.11813
1.43044
1.45963
1.57095
1.3804
1.27754
1.49596
1.61761
1.36318
1.15623
1.28702
1.22882
1.15069
1.43504
1.50759
1.24002
