AS_2
0.6563308
0.7159414
0.8319316
0.6552166
0.815188
0.6826486
0.8874916
0.934549
0.852412
0.7916818
0.8360692
0.8156698
0.906895
0.7923436
0.8524654
0.9239068
0.7332868
0.8411512
0.727726
0.744907
0.687733
0.7986664
0.9035314
0.8974552
0.7450858
0.8866006
0.760756
0.7047976
0.8985304
0.8165974
0.8839618
0.8665144
0.7175584
0.857446
0.7299508
0.8595634
0.6857686
0.7501978
0.8653528
0.78445
0.812671
0.8674468
0.7521688
0.8820736
0.9446928
0.807163
0.8749588
0.7454494
0.8030866
0.925636
0.8526166
0.6605176
0.913855
0.7769974
0.8076514
0.8128834
0.845698
0.97887
0.7290628
0.8428966
0.7710706
0.7896604
0.920029
0.8577796
0.8687188
0.7663312
0.9844717
0.8886304
0.5801884
0.9279268
0.87652
0.7963444
0.82444
0.9221686
0.6704218
0.7501312
0.8592568
0.7392736
0.6563308
0.7159414
0.8319316
0.6552166
0.815188
0.6826486
0.8874916
0.934549
0.852412
0.7916818
0.8360692
0.8156698
0.906895
0.7923436
0.8524654
0.9239068
0.7332868
0.8411512
0.727726
0.744907
0.687733
0.7986664
0.9035314
0.8974552
0.7450858
0.8866006
0.760756
0.7047976
0.8985304
0.8165974
0.8839618
0.8665144
0.7175584
0.857446
0.7299508
0.8595634
0.6857686
0.7501978
0.8653528
0.78445
0.812671
0.8674468
0.7521688
0.8820736
0.9446928
0.807163
0.8749588
0.7454494
0.8030866
0.925636
0.8526166
0.6605176
0.913855
0.7769974
0.8076514
0.8128834
0.845698
0.97887
0.7290628
0.8428966
0.7710706
0.7896604
0.920029
0.8577796
0.8687188
0.7663312
0.9844717
0.8886304
0.5801884
0.9279268
0.87652
0.7963444
0.82444
0.9221686
0.6704218
0.7501312
0.8592568
0.7392736
