0,1,2,3
0.35520062,91.49138,1.8998992,2.4606175
-0.18092376,0.36188468,0.7785441,1.4827412
6.7488294,728.9845,18.033783,-2.342499
20652.223,71894.92,45040.074,33456.145
0.8958263,12.825774,12.205411,-10.991478
-58.40117,-229.94336,-4.522453,-8.653954
816.57715,19425.994,7106.5415,10937.303
,,,
-0.40871605,11.382513,-0.47122157,-0.1747055
21.926813,19.19663,95.25218,202.98465
-1898.6196,19701.678,5709.4404,8196.602
-0.16507249,0.25852066,0.09641099,0.13487673
13.125141,47.495083,12.957158,8.051075
-858.0649,13444.022,6573.7764,2959.5962
1.1386205,395.2726,1.7251041,12.993982
6051.923,30885.23,43804.145,-31724.898
1338.5027,14902.502,9764.952,-9821.287
0.08502472,7.0182085,0.18940766,-0.06644006
0.011494653,0.03564465,0.14320226,0.20027067
0.10201781,3.3408856,0.046681073,0.11545286
0.14779182,0.14641361,0.47150558,0.37775367
3083.6526,2152.673,6477.1694,2624.673
20208.93,87789.695,66814.75,9303.935
5495.8506,19056.139,19932.527,12205.232
4836.157,22658.672,25054.012,33565.27
5649.6226,42866.12,19779.654,13042.426
-350.24445,3482.7822,-179.54488,445.94998
0.00091508316,0.0073993355,-0.001989457,0.0138953235
0.25045705,0.32057303,1.9119633,1.4244695
2.743823,2.7223628,20.87617,18.225842
2.1257074,94.38173,2.8317811,-0.5338092
1293.8234,9113.827,2702.6597,2019.0903
-3081.6487,14743.144,-1530.5391,1513.1509
0.2772427,67.32096,0.38418984,0.63243186
10318.644,17947.912,26634.428,1477.0494
0.8778451,0.8340762,1.924882,2.7676802
0.0056568687,13.000487,0.18144034,-0.063007936
893.11975,129537.016,40919.465,-22231.926
-0.28364772,-6.341878,0.08813875,0.03542149
0.5257946,38.744843,0.82728916,0.98516953
-14.57865,446.92188,28.035814,-85.050255
0.2713505,3.537443,10.664447,-5.4376116
2505.0288,33883.2,42494.57,6311.1064
3.5553553,227.02827,8.03454,6.9761143
0.16356336,1.892792,4.8219423,5.3857284
0.012043098,0.12643196,0.22158055,-0.369563
23.131311,36.121807,114.52121,104.251495
738.08575,8022.7744,2674.831,724.7303
0.74147403,2.9280856,5.210753,2.808777
16016.229,80127.664,34090.684,10561.566
,,,
0.1509413,1.784706,6.4233084,-17.054556
,,,
2699.2725,35484.676,4079.633,16181.715
0.010224725,0.02254037,0.0093921535,0.008357778
0.15614152,0.56541926,0.89208704,-0.54373163
,,,
-2.651806,-96.77148,10.595279,21.748966
0.5441031,224.71382,6.15673,1.9314183
1.1765962,70.02585,58.092773,-7.193361
0.0015158,0.075100884,0.004066406,0.00069168094
-12.786918,20.93789,-11.646534,60.048153
1661.24,22144.367,2951.1497,-12601.941
0.1271229,10.663241,0.8995711,1.404359
0.00068460434,2.5660074e-05,0.004743495,0.0023005973
5049.7593,11063.169,12763.231,1666.6505
1.147025e-05,2.1059588e-05,0.0002450276,0.00026964038
4672.7593,28710.678,28705.256,16830.068
1.7412306e-07,-1.1473741e-07,2.0455782e-06,-3.1982058e-06
2.028198,10.080595,3.4096797,1.8087115
514.6825,1352.4261,3485.596,1878.8833
0.24033558,0.6940549,0.21507943,0.20043561
1436.0636,16687.635,10127.845,-2181.2527
,,,
1.2607654,8.727313,13.985504,27.085035
0.0077157193,0.014811469,0.07182862,0.002547762
6.291657,39.87061,27.1052,48.57506
25.670471,46.390316,91.537735,-14.467573
0.35520062,91.49138,1.8998992,2.4606175
-0.18092376,0.36188468,0.7785441,1.4827412
6.7488294,728.9845,18.033783,-2.342499
20652.223,71894.92,45040.074,33456.145
0.8958263,12.825774,12.205411,-10.991478
-58.40117,-229.94336,-4.522453,-8.653954
816.57715,19425.994,7106.5415,10937.303
,,,
-0.40871605,11.382513,-0.47122157,-0.1747055
21.926813,19.19663,95.25218,202.98465
-1898.6196,19701.678,5709.4404,8196.602
-0.16507249,0.25852066,0.09641099,0.13487673
13.125141,47.495083,12.957158,8.051075
-858.0649,13444.022,6573.7764,2959.5962
1.1386205,395.2726,1.7251041,12.993982
6051.923,30885.23,43804.145,-31724.898
1338.5027,14902.502,9764.952,-9821.287
0.08502472,7.0182085,0.18940766,-0.06644006
0.011494653,0.03564465,0.14320226,0.20027067
0.10201781,3.3408856,0.046681073,0.11545286
0.14779182,0.14641361,0.47150558,0.37775367
3083.6526,2152.673,6477.1694,2624.673
20208.93,87789.695,66814.75,9303.935
5495.8506,19056.139,19932.527,12205.232
4836.157,22658.672,25054.012,33565.27
5649.6226,42866.12,19779.654,13042.426
-350.24445,3482.7822,-179.54488,445.94998
0.00091508316,0.0073993355,-0.001989457,0.0138953235
0.25045705,0.32057303,1.9119633,1.4244695
2.743823,2.7223628,20.87617,18.225842
2.1257074,94.38173,2.8317811,-0.5338092
1293.8234,9113.827,2702.6597,2019.0903
-3081.6487,14743.144,-1530.5391,1513.1509
0.2772427,67.32096,0.38418984,0.63243186
10318.644,17947.912,26634.428,1477.0494
0.8778451,0.8340762,1.924882,2.7676802
0.0056568687,13.000487,0.18144034,-0.063007936
893.11975,129537.016,40919.465,-22231.926
-0.28364772,-6.341878,0.08813875,0.03542149
0.5257946,38.744843,0.82728916,0.98516953
-14.57865,446.92188,28.035814,-85.050255
0.2713505,3.537443,10.664447,-5.4376116
2505.0288,33883.2,42494.57,6311.1064
3.5553553,227.02827,8.03454,6.9761143
0.16356336,1.892792,4.8219423,5.3857284
0.012043098,0.12643196,0.22158055,-0.369563
23.131311,36.121807,114.52121,104.251495
738.08575,8022.7744,2674.831,724.7303
0.74147403,2.9280856,5.210753,2.808777
16016.229,80127.664,34090.684,10561.566
,,,
0.1509413,1.784706,6.4233084,-17.054556
,,,
2699.2725,35484.676,4079.633,16181.715
0.010224725,0.02254037,0.0093921535,0.008357778
0.15614152,0.56541926,0.89208704,-0.54373163
,,,
-2.651806,-96.77148,10.595279,21.748966
0.5441031,224.71382,6.15673,1.9314183
1.1765962,70.02585,58.092773,-7.193361
0.0015158,0.075100884,0.004066406,0.00069168094
-12.786918,20.93789,-11.646534,60.048153
1661.24,22144.367,2951.1497,-12601.941
0.1271229,10.663241,0.8995711,1.404359
0.00068460434,2.5660074e-05,0.004743495,0.0023005973
5049.7593,11063.169,12763.231,1666.6505
1.147025e-05,2.1059588e-05,0.0002450276,0.00026964038
4672.7593,28710.678,28705.256,16830.068
1.7412306e-07,-1.1473741e-07,2.0455782e-06,-3.1982058e-06
2.028198,10.080595,3.4096797,1.8087115
514.6825,1352.4261,3485.596,1878.8833
0.24033558,0.6940549,0.21507943,0.20043561
1436.0636,16687.635,10127.845,-2181.2527
,,,
1.2607654,8.727313,13.985504,27.085035
0.0077157193,0.014811469,0.07182862,0.002547762
6.291657,39.87061,27.1052,48.57506
25.670471,46.390316,91.537735,-14.467573
