DELTA_LOC
-0.00214506
0.0850183
-0.0368058
0.123659
0.135324
0.0696739
0.110802
0.0188835
-0.0119089
0.17905
0.130111
0.013861
0.0999578
-0.0812617
0.168868
0.0453495
0.179474
0.100341
0.106951
0.119474
0.0478043
0.10806
0.0294322
0.160376
0.139133
0.233057
0.198396
-0.0626336
-0.00728663
0.044568
0.0810529
0.185248
-0.0553345
0.130281
0.173183
0.114804
0.0206861
0.0492
0.234701
0.0488089
0.0726616
0.186958
0.0773087
0.101217
0.162438
0.171644
0.118518
0.0365584
0.158515
0.0309742
0.0835265
-0.00681097
0.0986059
-0.00854163
0.0620402
0.1443
0.0432521
0.0049784
0.125083
0.13568
0.058501
0.0186636
0.0810263
0.151845
0.05161
0.136613
0.000239834
0.119185
0.104473
0.160762
0.0703355
0.210206
-0.0457036
0.149175
0.169079
0.0344266
0.100523
0.0890492
-0.00214506
0.0850183
-0.0368058
0.123659
0.135324
0.0696739
0.110802
0.0188835
-0.0119089
0.17905
0.130111
0.013861
0.0999578
-0.0812617
0.168868
0.0453495
0.179474
0.100341
0.106951
0.119474
0.0478043
0.10806
0.0294322
0.160376
0.139133
0.233057
0.198396
-0.0626336
-0.00728663
0.044568
0.0810529
0.185248
-0.0553345
0.130281
0.173183
0.114804
0.0206861
0.0492
0.234701
0.0488089
0.0726616
0.186958
0.0773087
0.101217
0.162438
0.171644
0.118518
0.0365584
0.158515
0.0309742
0.0835265
-0.00681097
0.0986059
-0.00854163
0.0620402
0.1443
0.0432521
0.0049784
0.125083
0.13568
0.058501
0.0186636
0.0810263
0.151845
0.05161
0.136613
0.000239834
0.119185
0.104473
0.160762
0.0703355
0.210206
-0.0457036
0.149175
0.169079
0.0344266
0.100523
0.0890492
