TAUS_2
0.933244
0.864726
1.44577
1.25615
0.988204
0.714671
1.32754
1.37342
1.56546
1.14283
1.43012
1.18594
1.60858
0.861742
1.33262
1.4056
0.966653
1.18728
1.10726
0.936045
1.22932
1.36328
1.29348
1.45606
1.21806
1.17216
0.897994
1.46202
0.661172
0.492095
1.51859
0.685099
1.07632
1.12404
1.27624
1.02347
1.8561
1.34874
0.600881
1.15342
1.08013
0.803488
1.4392
0.675764
0.834726
1.26086
1.8973
1.00238
0.968936
1.27501
1.1985
0.590975
1.28242
1.12373
1.12602
1.07983
1.78728
0.9183
1.05423
0.80692
0.996606
0.709549
1.42999
1.082
0.739619
1.04145
1.5231
1.91091
0.822064
0.692475
1.30576
0.60422
1.19562
1.72242
1.03871
1.46472
1.75855
1.39688
0.933244
0.864726
1.44577
1.25615
0.988204
0.714671
1.32754
1.37342
1.56546
1.14283
1.43012
1.18594
1.60858
0.861742
1.33262
1.4056
0.966653
1.18728
1.10726
0.936045
1.22932
1.36328
1.29348
1.45606
1.21806
1.17216
0.897994
1.46202
0.661172
0.492095
1.51859
0.685099
1.07632
1.12404
1.27624
1.02347
1.8561
1.34874
0.600881
1.15342
1.08013
0.803488
1.4392
0.675764
0.834726
1.26086
1.8973
1.00238
0.968936
1.27501
1.1985
0.590975
1.28242
1.12373
1.12602
1.07983
1.78728
0.9183
1.05423
0.80692
0.996606
0.709549
1.42999
1.082
0.739619
1.04145
1.5231
1.91091
0.822064
0.692475
1.30576
0.60422
1.19562
1.72242
1.03871
1.46472
1.75855
1.39688
