DEBYE_log10
-1.4848988
-1.5738093
-1.5423149
-1.7605354
-1.4762185
-1.4945529
-1.704079
-2.0327208
-1.6653894
-1.8061327
-1.6548283
-1.5269585
-1.3584783
-1.4048258
-1.306405
-1.5764985
-1.8198254
-1.489518
-1.7608458
-1.5831499
-1.7027167
-1.5971731
-1.9462802
-1.6853366
-1.6747636
-1.4995207
-1.6820807
-1.4950944
-1.6189283
-1.9171357
-1.3532513
-1.9302727
-1.6425722
-1.5813309
-1.6187387
-1.4223244
-1.8412215
-1.4815414
-1.8511199
-1.7654169
-1.7005646
-1.7204814
-1.6161721
-1.6624868
-1.5460826
-1.8095282
-1.4815769
-1.7342532
-1.6161721
-1.5069548
-1.3918903
-1.3637369
-1.605123
-1.8495167
-1.4982371
-1.510483
-1.6399825
-1.6145511
-1.9811456
-1.7098452
-1.9887469
-1.7952508
-1.6535766
-1.6384364
-1.5467383
-1.6053523
-1.6531094
-1.4650847
-1.6737871
-1.561494
-1.6487527
-1.4943156
-1.4352463
-1.53805
-1.6318396
-1.6136116
-1.9595876
-1.6096585
-1.4848988
-1.5738093
-1.5423149
-1.7605354
-1.4762185
-1.4945529
-1.704079
-2.0327208
-1.6653894
-1.8061327
-1.6548283
-1.5269585
-1.3584783
-1.4048258
-1.306405
-1.5764985
-1.8198254
-1.489518
-1.7608458
-1.5831499
-1.7027167
-1.5971731
-1.9462802
-1.6853366
-1.6747636
-1.4995207
-1.6820807
-1.4950944
-1.6189283
-1.9171357
-1.3532513
-1.9302727
-1.6425722
-1.5813309
-1.6187387
-1.4223244
-1.8412215
-1.4815414
-1.8511199
-1.7654169
-1.7005646
-1.7204814
-1.6161721
-1.6624868
-1.5460826
-1.8095282
-1.4815769
-1.7342532
-1.6161721
-1.5069548
-1.3918903
-1.3637369
-1.605123
-1.8495167
-1.4982371
-1.510483
-1.6399825
-1.6145511
-1.9811456
-1.7098452
-1.9887469
-1.7952508
-1.6535766
-1.6384364
-1.5467383
-1.6053523
-1.6531094
-1.4650847
-1.6737871
-1.561494
-1.6487527
-1.4943156
-1.4352463
-1.53805
-1.6318396
-1.6136116
-1.9595876
-1.6096585
