0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0758793,0.151759,0.227638,0.303517,0.379396,0.455276,0.607034,0.758793,0.910551,1.06231,1.21407,1.36583,1.51759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0780193,0.156039,0.234058,0.312077,0.390097,0.468116,0.0,0.0,0.0,0.0,1.24831,1.40435,1.56039,2.04082,2.66919,3.49102,4.5659,0.0,0.0,0.0,13.3604,17.474,0.0,0.0
0.0564833,0.112967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52152,2.04929,2.76013,3.71754,5.00705,6.74385,9.08311,12.2338,16.4773,22.1929,29.891
0.0697792,0.139558,0.209338,0.279117,0.348896,0.418675,0.558234,0.697792,0.837351,0.976909,1.11647,1.25603,1.39558,1.8439,2.43622,3.21882,4.25283,5.61899,7.42401,9.80886,12.9598,17.123,22.6235,29.891
0.0669531,0.133906,0.200859,0.267812,0.334766,0.401719,0.535625,0.669531,0.803437,0.937344,1.07125,0.0,0.0,1.77588,2.35519,3.12348,4.14239,5.49369,7.28579,9.6625,12.8145,16.9947,22.5386,29.891
0.0844614,0.168923,0.253384,0.337846,0.422307,0.506768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0581119,0.116224,0.174336,0.232448,0.29056,0.348672,0.464896,0.581119,0.697343,0.813567,0.929791,1.04602,1.16224,1.56135,2.09751,2.81778,3.7854,5.08529,6.83156,9.17749,12.329,16.5627,22.2503,29.891
0.0526117,0.105223,0.157835,0.210447,0.263059,0.31567,0.420894,0.526117,0.631341,0.736564,0.841788,0.947011,1.05223,1.4264,1.93362,2.62121,3.5533,4.81683,6.52967,8.85158,11.9992,16.266,22.0501,29.891
0.054204,0.108408,0.162612,0.216816,0.27102,0.325224,0.433632,0.54204,0.650449,0.758857,0.867265,0.0,0.0,0.0,0.0,2.67867,3.62136,4.89581,6.61877,8.94808,12.0971,16.3544,22.1099,29.891
0.0647825,0.129565,0.194347,0.25913,0.323912,0.388695,0.51826,0.647825,0.77739,0.906955,1.03652,1.16608,1.29565,1.72346,2.29253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0569754,0.113951,0.170926,0.227902,0.284877,0.341853,0.455803,0.569754,0.683705,0.797656,0.911607,1.02556,1.13951,1.53356,2.06388,2.7776,3.73812,5.0308,6.7705,9.11181,12.2628,16.5034,22.2104,29.891
0.0,0.0,0.194355,0.25914,0.323925,0.38871,0.518281,0.647851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17759,9.54753,12.7,16.8933,22.4713,29.891
0.0486141,0.0972282,0.145842,0.194456,0.243071,0.291685,0.388913,0.486141,0.583369,0.680598,0.777826,0.875054,0.972282,1.32752,1.81256,2.47481,3.37903,4.61361,0.0,8.60084,0.0,0.0,21.8922,29.891
0.0738585,0.147717,0.221575,0.295434,0.369292,0.443151,0.590868,0.738585,0.886302,1.03402,1.18174,1.32945,1.47717,1.94164,2.55214,3.35461,4.4094,5.79584,7.61823,10.0136,13.1622,17.3008,22.7406,29.891
0.0586179,0.117236,0.175854,0.234472,0.29309,0.351707,0.468943,0.586179,0.703415,0.820651,0.937886,1.05512,1.17236,1.5737,2.11244,2.8356,3.80634,5.10939,6.85853,9.20646,12.3582,16.5889,22.2679,29.891
0.052006,0.104012,0.156018,0.208024,0.26003,0.312036,0.416048,0.52006,0.624072,0.728084,0.832096,0.936108,1.04012,1.41147,1.91539,2.59923,3.52721,4.7865,6.49539,8.81439,11.9613,16.2318,22.0269,29.891
0.0703474,0.140695,0.211042,0.28139,0.351737,0.422085,0.562779,0.703474,0.844169,0.984864,1.12556,1.26625,1.40695,1.85754,2.45244,3.23786,4.27483,5.6439,7.45142,9.83783,12.9885,17.1482,22.6402,29.891
0.0618416,0.123683,0.185525,0.247366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0705597,0.141119,0.211679,0.282239,0.352799,0.423358,0.564478,0.705597,0.846716,0.987836,1.12896,1.27007,1.41119,1.86264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.292832,0.36604,0.439248,0.585664,0.732079,0.878495,1.02491,1.17133,1.31774,1.46416,1.92608,2.53374,3.3331,4.38464,5.76794,7.58765,9.98146,13.1305,17.273,22.7224,29.891
0.0687719,0.137544,0.206316,0.275088,0.343859,0.412631,0.550175,0.687719,0.825263,0.962806,1.10035,1.23789,1.37544,1.81968,2.40741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.065517,0.131034,0.196551,0.262068,0.327585,0.393102,0.524136,0.65517,0.786204,0.917238,1.04827,1.17931,1.31034,1.74122,2.31378,3.07461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0542132,0.108426,0.162639,0.216853,0.271066,0.325279,0.433705,0.542132,0.650558,0.758984,0.867411,0.975837,1.08426,1.46582,1.98165,2.679,3.62175,4.89626,6.61927,8.94863,0.0,16.3549,22.1103,0.0
0.0542584,0.108517,0.162775,0.217034,0.271292,0.325551,0.434067,0.542584,0.651101,0.759618,0.868135,0.976652,1.08517,1.46693,1.983,2.68063,0.0,0.0,6.62179,8.95134,12.1004,16.3574,22.112,29.891
0.0661546,0.132309,0.198464,0.264618,0.330773,0.396927,0.529237,0.661546,0.793855,0.926164,1.05847,1.19078,1.32309,1.75661,2.33218,0.0,0.0,5.45785,7.24616,9.62043,12.7726,16.9577,22.5141,29.891
0.0614801,0.12296,0.18444,0.245921,0.307401,0.368881,0.491841,0.614801,0.737762,0.860722,0.983682,1.10664,1.2296,1.6434,2.19646,2.93564,3.92359,5.244,7.00878,9.36746,12.5199,16.7333,22.3646,29.891
0.0738772,0.147754,0.221632,0.295509,0.369386,0.443263,0.591017,0.738772,0.886526,1.03428,1.18203,1.32979,1.47754,1.94208,2.55267,3.35523,4.41011,5.79664,7.6191,10.0145,13.1631,17.3016,22.7412,29.891
0.061835,0.12367,0.185505,0.24734,0.309175,0.37101,0.49468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0795667,0.159133,0.2387,0.318267,0.397834,0.4774,0.636534,0.795667,0.954801,1.11393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0960978,0.192196,0.288293,0.384391,0.480489,0.576587,0.768783,0.960978,1.15317,1.34537,1.53757,1.72976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
