RLTS_1
3.93314
3.11647
5.6269
-0.766789
4.75994
4.46491
2.32953
3.78504
2.28815
2.5725
4.8295
1.57801
1.31498
4.39569
-0.784822
-1.05888
2.85331
2.84408
1.92437
6.51425
7.46987
0.16903
1.07973
-0.244124
3.67007
4.87498
4.77975
6.02054
0.399247
-0.713803
4.1095
8.44488
-1.88851
4.12771
5.98366
2.19168
2.21726
2.48885
2.57698
2.99435
-0.0202877
5.46406
1.82919
6.05731
3.72558
1.44135
4.83501
5.37508
1.06158
1.68815
4.59064
-2.27577
4.28074
5.55271
2.28894
1.9504
3.02113
2.81173
-0.896167
1.38194
0.210218
5.44565
-1.3892
3.96504
0.447172
2.07639
3.84178
0.0
3.75935
1.25436
3.26565
1.4151
