XNUE_log10
-1.0738794
-1.0425469
-0.86455566
-0.9310909
-1.2077883
-0.8733265
-1.1861796
-0.9256481
-0.91407466
-1.3854128
-1.1210326
-0.5276825
-0.94320565
-1.2014426
-1.3492603
-0.9819823
-2.005292
-1.0163733
-0.39195988
-1.0470803
-1.431186
-1.0649439
-1.6060389
-0.09534071
-1.2643045
-1.509084
-0.75158775
-1.3654583
-1.6647668
-1.2635669
-0.8391684
-1.7693927
-1.021301
-0.9395439
-1.9766817
-0.5472601
-0.6134386
-0.3883181
-0.75887954
-0.74265987
-0.5676225
-0.5018853
-1.025567
-1.1239364
-1.793849
-0.87004924
-1.405381
-0.659786
-0.6737625
-0.012541996
-1.0274506
-0.82122153
-1.2526045
-1.8483391
-0.41202763
-1.7558466
-0.9002365
-0.84785235
-0.23845403
-0.42231753
-0.54871106
-1.1150948
-0.57969594
-0.8981533
-1.2813622
-0.972308
-1.4289378
-0.71403337
-0.82268286
-0.23755777
-1.0595881
-1.0152769
