S_ZETA_LOC
-0.0194494
0.0203352
-0.0435534
0.0711452
0.058685
-0.00575032
0.033711
0.0318415
-0.0431677
-0.02242
-0.0556308
-0.00565097
-0.0411788
-0.0345909
-0.0719506
-0.084568
-0.0844308
-0.013899
-0.090263
-0.0542512
-0.0198664
-0.0180239
-0.0132758
0.0454759
0.0591408
0.0256392
0.014525
0.0167138
-0.0398694
0.0192574
-0.0164873
-0.0220201
-0.0422602
-0.125677
0.005365
-0.0205253
-0.0447073
-0.0702478
0.0404896
0.000832523
-0.00219058
-0.0017842
-0.00964809
0.0641898
-0.0913558
-0.0354409
-0.00990076
-0.0284063
-0.0261069
0.0180432
0.0079112
-0.0632948
-0.0669633
-0.0586154
-0.0388335
0.0155619
-0.0691748
0.0383875
0.00927484
0.0573099
-0.029007
-0.0185175
0.0920374
0.0254837
-0.0899666
-0.0624606
-0.12499
0.0
-0.000472384
-0.0608927
-0.0242154
0.0187674
