BETAE_log10
-2.1988041
-2.7138872
-2.2038414
-1.7932199
-1.5977094
-3.2025828
-2.7065601
-1.742989
-2.744807
-2.3029616
-2.118626
-2.4375894
-3.1650367
-2.7280724
-2.4039102
-2.963359
-1.1545739
-2.2992158
-2.0177274
-2.0310607
-2.9999523
-2.896073
-2.5206723
-2.742595
-2.8300524
-2.2086737
-2.1719618
-2.3956745
-2.1100192
-2.2792091
-2.6574647
-1.5379121
-2.3758397
-2.5977352
-2.3713915
-2.34517
-1.9420677
-1.9523164
-2.8726165
-3.1433387
-2.6892684
-2.2198577
-3.0803053
-2.1290445
-2.6620858
-1.9419918
-2.6471348
-2.4309154
-3.350133
-3.2162242
-2.765465
-3.0406656
-3.0399656
-2.5240064
-2.225302
-2.6727924
-1.9387549
-1.8108889
-3.088668
-2.5830483
-2.2459354
-1.805297
-3.044089
-2.5343227
-2.3346207
-2.9117362
-2.1600897
-3.1950479
-3.2792192
-2.559932
-2.5660863
-2.587301
