ZEFF
1.95003
2.04203
1.14704
1.08896
1.4953
1.4062
2.0569
2.53004
2.6382
1.74999
1.71497
2.28297
1.81744
2.0317
1.55614
1.62955
1.61985
2.38938
1.9131
1.32529
2.34584
1.79799
1.42939
1.89541
1.40919
2.41705
2.55952
2.02821
2.28703
2.44465
0.758094
1.99721
1.59713
2.44687
1.55236
2.26432
1.9423
1.73724
2.49753
2.59938
1.76124
1.30292
1.71979
2.2255
2.55008
2.18413
2.46253
2.12843
2.08309
2.65974
2.214
1.56248
1.29308
1.29296
1.05091
2.67534
1.73512
1.62824
1.72364
1.34922
2.55844
2.05421
3.15867
2.41705
1.58044
0.843362
1.70475
0.0
2.54514
1.744
3.12404
1.03654
