Q_PRIME_LOC
-10.9487
3.89395
6.9238
34.5626
9.96196
43.4629
48.7986
2.67116
-1.09257
10.0714
12.2415
33.1215
-26.2648
-11.8153
11.745
-0.0918833
21.2324
10.3784
22.8513
-8.34122
-3.75393
-5.30967
25.8359
25.6889
13.0549
19.2352
5.48511
22.1802
-4.82103
10.4299
20.0526
-36.4163
39.0309
-35.4606
36.4611
5.71354
30.8314
17.3384
-18.7672
21.5013
46.4702
6.48029
18.9162
6.04648
3.06942
-3.54552
1.3958
7.15116
56.3603
12.3945
-0.0699381
-2.41263
41.927
-0.807654
-44.3032
2.53296
31.187
-1.39667
-17.0698
26.7909
42.7196
-10.5492
-12.3156
11.3782
10.9816
-27.1249
21.6317
0.0
34.7045
-39.529
40.2831
32.6297
