S_KAPPA_LOC
0.0166396
0.00136822
0.332351
0.194206
0.152239
0.277941
0.143237
0.334914
0.18136
0.624666
0.0477143
0.483991
-0.0660808
0.166501
0.150411
-0.0163798
0.493155
0.0517311
-0.0691175
0.0614096
0.209425
0.672907
0.188804
0.0556461
0.28666
-0.000843197
0.233982
0.236376
-0.051565
0.233068
0.361046
-0.00503591
0.376626
0.189798
0.101462
0.422781
-0.0126618
0.0622792
0.47607
-0.144624
0.383032
-0.266052
0.111923
0.288349
0.122118
0.282035
0.115185
0.087155
0.316905
0.125331
-0.0195425
-0.196851
0.120342
0.149599
0.0293876
-0.155852
-0.158408
0.231684
0.319168
0.262266
-0.278267
0.155269
0.0553917
0.411683
0.313964
0.268784
0.120779
0.0
0.0555566
0.204546
0.171607
0.25174
