Q_LOC
2.41195
3.8674
1.24804
1.54704
1.10886
2.11952
2.4186
2.66111
3.43336
2.46421
1.79112
1.55068
1.37925
1.87781
2.82534
0.811723
2.56986
2.13887
2.35712
1.87722
2.43364
2.8091
1.2551
1.87063
1.53592
2.0134
3.17792
1.06355
2.58916
1.09783
1.88336
3.05533
3.93454
1.92797
2.53962
1.27368
4.13082
1.32076
2.51694
3.24029
4.25156
1.86874
3.10213
1.5763
2.64883
1.99693
1.65258
3.41296
2.38685
1.91365
1.96975
2.97994
2.68212
1.86574
2.37997
3.23992
2.54242
1.14293
3.05496
3.88061
1.68436
0.904759
2.82785
3.16116
2.49186
3.12398
2.66574
0.0
2.62344
2.61716
3.78244
2.36799
